date,profile_id,month_year,year
2020-01-08,3594,01-2020,2020
2020-01-09,3730,01-2020,2020
2020-01-10,3519,01-2020,2020
2020-01-11,1734,01-2020,2020
2020-01-12,1583,01-2020,2020
2020-01-13,3822,01-2020,2020
2020-01-14,3954,01-2020,2020
2020-01-15,3442,01-2020,2020
2020-01-16,3583,01-2020,2020
2020-01-17,3441,01-2020,2020
2020-01-18,1292,01-2020,2020
2020-01-19,1140,01-2020,2020
2020-01-20,3462,01-2020,2020
2020-01-21,3700,01-2020,2020
2020-01-22,3543,01-2020,2020
2020-01-23,3318,01-2020,2020
2020-01-24,3179,01-2020,2020
2020-01-25,1172,01-2020,2020
2020-01-26,1207,01-2020,2020
2020-01-27,2859,01-2020,2020
2020-01-28,3171,01-2020,2020
2020-01-29,4175,01-2020,2020
2020-01-30,3776,01-2020,2020
2020-01-31,3061,01-2020,2020
2020-02-01,1177,02-2020,2020
2020-02-02,1154,02-2020,2020
2020-02-03,3054,02-2020,2020
2020-02-04,4289,02-2020,2020
2020-02-05,4514,02-2020,2020
2020-02-06,4943,02-2020,2020
2020-02-07,3805,02-2020,2020
2020-02-08,1428,02-2020,2020
2020-02-09,1485,02-2020,2020
2020-02-10,4490,02-2020,2020
2020-02-11,4615,02-2020,2020
2020-02-12,4241,02-2020,2020
2020-02-13,4182,02-2020,2020
2020-02-14,3553,02-2020,2020
2020-02-15,1383,02-2020,2020
2020-02-16,1314,02-2020,2020
2020-02-17,3303,02-2020,2020
2020-02-18,3899,02-2020,2020
2020-02-19,4273,02-2020,2020
2020-02-20,4090,02-2020,2020
2020-02-21,3884,02-2020,2020
2020-02-22,1333,02-2020,2020
2020-02-23,1224,02-2020,2020
2020-02-24,3518,02-2020,2020
2020-02-25,3432,02-2020,2020
2020-02-26,2978,02-2020,2020
2020-02-27,3094,02-2020,2020
2020-02-28,2391,02-2020,2020
2020-02-29,912,02-2020,2020
2020-03-01,911,03-2020,2020
2020-03-02,2301,03-2020,2020
2020-03-03,3493,03-2020,2020
2020-03-04,3624,03-2020,2020
2020-03-05,3417,03-2020,2020
2020-03-06,3157,03-2020,2020
2020-03-07,1100,03-2020,2020
2020-03-08,1214,03-2020,2020
2020-03-09,3013,03-2020,2020
2020-03-10,3351,03-2020,2020
2020-03-11,4480,03-2020,2020
2020-03-12,3123,03-2020,2020
2020-03-13,2525,03-2020,2020
2020-03-14,1038,03-2020,2020
2020-03-15,994,03-2020,2020
2020-03-16,2002,03-2020,2020
2020-03-17,2304,03-2020,2020
2020-03-18,2087,03-2020,2020
2020-03-19,2178,03-2020,2020
2020-03-20,1956,03-2020,2020
2020-03-21,1120,03-2020,2020
2020-03-22,1243,03-2020,2020
2020-03-23,2013,03-2020,2020
2020-03-24,2226,03-2020,2020
2020-03-25,2323,03-2020,2020
2020-03-26,2510,03-2020,2020
2020-03-27,2315,03-2020,2020
2020-03-28,1056,03-2020,2020
2020-03-29,1048,03-2020,2020
2020-03-30,2173,03-2020,2020
2020-03-31,2408,03-2020,2020
2020-04-01,2479,04-2020,2020
2020-04-02,2371,04-2020,2020
2020-04-03,2385,04-2020,2020
2020-04-04,1012,04-2020,2020
2020-04-05,2224,04-2020,2020
2020-04-06,2303,04-2020,2020
2020-04-07,2796,04-2020,2020
2020-04-08,3475,04-2020,2020
2020-04-09,3047,04-2020,2020
2020-04-10,2475,04-2020,2020
2020-04-11,1180,04-2020,2020
2020-04-12,1223,04-2020,2020
2020-04-13,2382,04-2020,2020
2020-04-14,3083,04-2020,2020
2020-04-15,3335,04-2020,2020
2020-04-16,3195,04-2020,2020
2020-04-17,2897,04-2020,2020
2020-04-18,1615,04-2020,2020
2020-04-19,1229,04-2020,2020
2020-04-20,3019,04-2020,2020
2020-04-21,3307,04-2020,2020
2020-04-22,3607,04-2020,2020
2020-04-23,3835,04-2020,2020
2020-04-24,3198,04-2020,2020
2020-04-25,1245,04-2020,2020
2020-04-26,1292,04-2020,2020
2020-04-27,3146,04-2020,2020
2020-04-28,3683,04-2020,2020
2020-04-29,3527,04-2020,2020
2020-04-30,3048,04-2020,2020
2020-05-01,2418,05-2020,2020
2020-05-02,1367,05-2020,2020
2020-05-03,1272,05-2020,2020
2020-05-04,3089,05-2020,2020
2020-05-05,3646,05-2020,2020
2020-05-06,3549,05-2020,2020
2020-05-07,3485,05-2020,2020
2020-05-08,2804,05-2020,2020
2020-05-09,1399,05-2020,2020
2020-05-10,1109,05-2020,2020
2020-05-11,2923,05-2020,2020
2020-05-12,3455,05-2020,2020
2020-05-13,3537,05-2020,2020
2020-05-14,3725,05-2020,2020
2020-05-15,3243,05-2020,2020
2020-05-16,1470,05-2020,2020
2020-05-17,1411,05-2020,2020
2020-05-18,3246,05-2020,2020
2020-05-19,3557,05-2020,2020
2020-05-20,3925,05-2020,2020
2020-05-21,3749,05-2020,2020
2020-05-22,2854,05-2020,2020
2020-05-23,1601,05-2020,2020
2020-05-24,1237,05-2020,2020
2020-05-25,2222,05-2020,2020
2020-05-26,3355,05-2020,2020
2020-05-27,3627,05-2020,2020
2020-05-28,3275,05-2020,2020
2020-05-29,2963,05-2020,2020
2020-05-30,1183,05-2020,2020
2020-05-31,1037,05-2020,2020
2020-06-01,2725,06-2020,2020
2020-06-02,3427,06-2020,2020
2020-06-03,3536,06-2020,2020
2020-06-04,3534,06-2020,2020
2020-06-05,3264,06-2020,2020
2020-06-06,1307,06-2020,2020
2020-06-07,1136,06-2020,2020
2020-06-08,3147,06-2020,2020
2020-06-09,3755,06-2020,2020
2020-06-10,3920,06-2020,2020
2020-06-11,3960,06-2020,2020
2020-06-12,3097,06-2020,2020
2020-06-13,1218,06-2020,2020
2020-06-14,1109,06-2020,2020
2020-06-15,3386,06-2020,2020
2020-06-16,3926,06-2020,2020
2020-06-17,3848,06-2020,2020
2020-06-18,3871,06-2020,2020
2020-06-19,3053,06-2020,2020
2020-06-20,1121,06-2020,2020
2020-06-21,1151,06-2020,2020
2020-06-22,3127,06-2020,2020
2020-06-23,3396,06-2020,2020
2020-06-24,3588,06-2020,2020
2020-06-25,3458,06-2020,2020
2020-06-26,3215,06-2020,2020
2020-06-27,1202,06-2020,2020
2020-06-28,1173,06-2020,2020
2020-06-29,8091,06-2020,2020
2020-06-30,6481,06-2020,2020
2020-07-01,4450,07-2020,2020
2020-07-02,3967,07-2020,2020
2020-07-03,2887,07-2020,2020
2020-07-04,1309,07-2020,2020
2020-07-05,1446,07-2020,2020
2020-07-06,3836,07-2020,2020
2020-07-07,4010,07-2020,2020
2020-07-08,4019,07-2020,2020
2020-07-09,3655,07-2020,2020
2020-07-10,3361,07-2020,2020
2020-07-11,1397,07-2020,2020
2020-07-12,1141,07-2020,2020
2020-07-13,2648,07-2020,2020
2020-07-14,3146,07-2020,2020
2020-07-15,3155,07-2020,2020
2020-07-16,3577,07-2020,2020
2020-07-17,2571,07-2020,2020
2020-07-18,1105,07-2020,2020
2020-07-19,1145,07-2020,2020
2020-07-20,2846,07-2020,2020
2020-07-21,3414,07-2020,2020
2020-07-22,3668,07-2020,2020
2020-07-23,4256,07-2020,2020
2020-07-24,2762,07-2020,2020
2020-07-25,1350,07-2020,2020
2020-07-26,1014,07-2020,2020
2020-07-27,3049,07-2020,2020
2020-07-28,3155,07-2020,2020
2020-07-29,5432,07-2020,2020
