date,profile_id,month_year,year,source
2020-12-30,235,12-2020,2020,DiSC
2020-12-31,178,12-2020,2020,DiSC
2021-01-01,139,01-2021,2021,DiSC
2021-01-02,190,01-2021,2021,DiSC
2021-01-03,186,01-2021,2021,DiSC
2021-01-04,360,01-2021,2021,DiSC
2021-01-05,365,01-2021,2021,DiSC
2021-01-06,359,01-2021,2021,DiSC
2021-01-07,320,01-2021,2021,DiSC
2021-01-08,409,01-2021,2021,DiSC
2021-01-09,294,01-2021,2021,DiSC
2021-01-10,315,01-2021,2021,DiSC
2021-01-11,559,01-2021,2021,DiSC
2021-01-12,526,01-2021,2021,DiSC
2021-01-13,619,01-2021,2021,DiSC
2021-01-14,519,01-2021,2021,DiSC
2021-01-15,487,01-2021,2021,DiSC
2021-01-16,332,01-2021,2021,DiSC
2021-01-17,386,01-2021,2021,DiSC
2021-01-18,477,01-2021,2021,DiSC
2021-01-19,606,01-2021,2021,DiSC
2021-01-20,379,01-2021,2021,DiSC
2021-01-21,386,01-2021,2021,DiSC
2021-01-22,434,01-2021,2021,DiSC
2021-01-23,214,01-2021,2021,DiSC
2021-01-24,254,01-2021,2021,DiSC
2021-01-25,440,01-2021,2021,DiSC
2021-01-26,411,01-2021,2021,DiSC
2021-01-27,450,01-2021,2021,DiSC
2021-01-28,404,01-2021,2021,DiSC
2021-01-29,410,01-2021,2021,DiSC
2021-01-30,236,01-2021,2021,DiSC
2021-01-31,286,01-2021,2021,DiSC
2021-02-01,411,02-2021,2021,DiSC
2021-02-02,447,02-2021,2021,DiSC
2021-02-03,449,02-2021,2021,DiSC
2021-02-04,492,02-2021,2021,DiSC
2021-02-05,526,02-2021,2021,DiSC
2021-02-06,280,02-2021,2021,DiSC
2021-02-07,255,02-2021,2021,DiSC
2021-02-08,338,02-2021,2021,DiSC
2021-02-09,402,02-2021,2021,DiSC
2021-02-10,453,02-2021,2021,DiSC
2021-02-11,417,02-2021,2021,DiSC
2021-02-12,363,02-2021,2021,DiSC
2021-02-13,221,02-2021,2021,DiSC
2021-02-14,242,02-2021,2021,DiSC
2021-02-15,368,02-2021,2021,DiSC
2021-02-16,384,02-2021,2021,DiSC
2021-02-17,431,02-2021,2021,DiSC
2021-02-18,373,02-2021,2021,DiSC
2021-02-19,375,02-2021,2021,DiSC
2021-02-20,228,02-2021,2021,DiSC
2021-02-21,231,02-2021,2021,DiSC
2021-02-22,490,02-2021,2021,DiSC
2021-02-23,474,02-2021,2021,DiSC
2021-02-24,414,02-2021,2021,DiSC
2021-02-25,536,02-2021,2021,DiSC
2021-02-26,401,02-2021,2021,DiSC
2021-02-27,222,02-2021,2021,DiSC
2021-02-28,194,02-2021,2021,DiSC
2021-03-01,509,03-2021,2021,DiSC
2021-03-02,422,03-2021,2021,DiSC
2021-03-03,474,03-2021,2021,DiSC
2021-03-04,425,03-2021,2021,DiSC
2021-03-05,357,03-2021,2021,DiSC
2021-03-06,226,03-2021,2021,DiSC
2021-03-07,232,03-2021,2021,DiSC
2021-03-08,329,03-2021,2021,DiSC
2021-03-09,372,03-2021,2021,DiSC
2021-03-10,379,03-2021,2021,DiSC
2021-03-11,349,03-2021,2021,DiSC
2021-03-12,336,03-2021,2021,DiSC
2021-03-13,203,03-2021,2021,DiSC
2021-03-14,209,03-2021,2021,DiSC
2021-03-15,504,03-2021,2021,DiSC
2021-03-16,419,03-2021,2021,DiSC
2021-03-17,371,03-2021,2021,DiSC
2021-03-18,376,03-2021,2021,DiSC
2021-03-19,307,03-2021,2021,DiSC
2021-03-20,197,03-2021,2021,DiSC
2021-03-21,173,03-2021,2021,DiSC
2021-03-22,362,03-2021,2021,DiSC
2021-03-23,344,03-2021,2021,DiSC
2021-03-24,336,03-2021,2021,DiSC
2021-03-25,352,03-2021,2021,DiSC
2021-03-26,286,03-2021,2021,DiSC
2021-03-27,195,03-2021,2021,DiSC
2021-03-28,173,03-2021,2021,DiSC
2021-03-29,345,03-2021,2021,DiSC
2021-03-30,353,03-2021,2021,DiSC
2021-03-31,354,03-2021,2021,DiSC
2021-04-01,306,04-2021,2021,DiSC
2021-04-02,231,04-2021,2021,DiSC
2021-04-03,177,04-2021,2021,DiSC
2021-04-04,188,04-2021,2021,DiSC
2021-04-05,276,04-2021,2021,DiSC
2021-04-06,403,04-2021,2021,DiSC
2021-04-07,403,04-2021,2021,DiSC
2021-04-08,455,04-2021,2021,DiSC
2021-04-09,323,04-2021,2021,DiSC
2021-04-10,186,04-2021,2021,DiSC
2021-04-11,170,04-2021,2021,DiSC
2021-04-12,388,04-2021,2021,DiSC
2021-04-13,384,04-2021,2021,DiSC
2021-04-14,380,04-2021,2021,DiSC
2021-04-15,438,04-2021,2021,DiSC
2021-04-16,292,04-2021,2021,DiSC
2021-04-17,181,04-2021,2021,DiSC
2021-04-18,179,04-2021,2021,DiSC
2021-04-19,465,04-2021,2021,DiSC
2021-04-20,367,04-2021,2021,DiSC
2021-04-21,426,04-2021,2021,DiSC
2021-04-22,401,04-2021,2021,DiSC
2021-04-23,320,04-2021,2021,DiSC
2021-04-24,231,04-2021,2021,DiSC
2021-04-25,219,04-2021,2021,DiSC
2021-04-26,560,04-2021,2021,DiSC
2021-04-27,492,04-2021,2021,DiSC
2021-04-28,367,04-2021,2021,DiSC
2021-04-29,355,04-2021,2021,DiSC
2021-04-30,252,04-2021,2021,DiSC
2021-05-01,150,05-2021,2021,DiSC
2021-05-02,162,05-2021,2021,DiSC
2021-05-03,290,05-2021,2021,DiSC
2021-05-04,376,05-2021,2021,DiSC
2021-05-05,352,05-2021,2021,DiSC
2021-05-06,353,05-2021,2021,DiSC
2021-05-07,340,05-2021,2021,DiSC
2021-05-08,214,05-2021,2021,DiSC
2021-05-09,233,05-2021,2021,DiSC
2021-05-10,442,05-2021,2021,DiSC
2021-05-11,371,05-2021,2021,DiSC
2021-05-12,358,05-2021,2021,DiSC
2021-05-13,318,05-2021,2021,DiSC
2021-05-14,431,05-2021,2021,DiSC
2021-05-15,178,05-2021,2021,DiSC
2021-05-16,175,05-2021,2021,DiSC
2021-05-17,331,05-2021,2021,DiSC
2021-05-18,347,05-2021,2021,DiSC
2021-05-19,357,05-2021,2021,DiSC
2021-05-20,383,05-2021,2021,DiSC
2021-05-21,295,05-2021,2021,DiSC
2021-05-22,174,05-2021,2021,DiSC
2021-05-23,194,05-2021,2021,DiSC
2021-05-24,376,05-2021,2021,DiSC
2021-05-25,376,05-2021,2021,DiSC
2021-05-26,350,05-2021,2021,DiSC
2021-05-27,336,05-2021,2021,DiSC
2021-05-28,470,05-2021,2021,DiSC
2021-05-29,295,05-2021,2021,DiSC
2021-05-30,254,05-2021,2021,DiSC
2021-05-31,284,05-2021,2021,DiSC
2021-06-01,367,06-2021,2021,DiSC
2021-06-02,372,06-2021,2021,DiSC
2021-06-03,384,06-2021,2021,DiSC
2021-06-04,342,06-2021,2021,DiSC
2021-06-05,181,06-2021,2021,DiSC
2021-06-06,210,06-2021,2021,DiSC
2021-06-07,470,06-2021,2021,DiSC
2021-06-08,404,06-2021,2021,DiSC
2021-06-09,440,06-2021,2021,DiSC
2021-06-10,447,06-2021,2021,DiSC
2021-06-11,413,06-2021,2021,DiSC
2021-06-12,214,06-2021,2021,DiSC
2021-06-13,244,06-2021,2021,DiSC
2021-06-14,448,06-2021,2021,DiSC
2021-06-15,460,06-2021,2021,DiSC
2021-06-16,405,06-2021,2021,DiSC
2021-06-17,405,06-2021,2021,DiSC
2021-06-18,291,06-2021,2021,DiSC
2021-06-19,180,06-2021,2021,DiSC
2021-06-20,194,06-2021,2021,DiSC
2021-06-21,338,06-2021,2021,DiSC
2021-06-22,353,06-2021,2021,DiSC
2021-06-23,400,06-2021,2021,DiSC
2021-06-24,437,06-2021,2021,DiSC
2021-06-25,337,06-2021,2021,DiSC
2021-06-26,183,06-2021,2021,DiSC
2021-06-27,241,06-2021,2021,DiSC
2021-06-28,425,06-2021,2021,DiSC
2021-06-29,368,06-2021,2021,DiSC
2021-06-30,318,06-2021,2021,DiSC
2021-07-01,357,07-2021,2021,DiSC
2021-07-02,294,07-2021,2021,DiSC
2021-07-03,247,07-2021,2021,DiSC
2021-07-04,325,07-2021,2021,DiSC
2021-07-05,335,07-2021,2021,DiSC
2021-07-06,401,07-2021,2021,DiSC
2021-07-07,430,07-2021,2021,DiSC
2021-07-08,439,07-2021,2021,DiSC
2021-07-09,380,07-2021,2021,DiSC
2021-07-10,266,07-2021,2021,DiSC
2021-07-11,243,07-2021,2021,DiSC
2021-07-12,381,07-2021,2021,DiSC
2021-07-13,388,07-2021,2021,DiSC
2021-07-14,394,07-2021,2021,DiSC
2021-07-15,354,07-2021,2021,DiSC
2021-07-16,325,07-2021,2021,DiSC
2021-07-17,174,07-2021,2021,DiSC
2021-07-18,199,07-2021,2021,DiSC
2021-07-19,365,07-2021,2021,DiSC
2021-07-20,373,07-2021,2021,DiSC
2021-07-21,382,07-2021,2021,DiSC
2021-07-22,407,07-2021,2021,DiSC
2021-07-23,321,07-2021,2021,DiSC
2021-07-24,272,07-2021,2021,DiSC
2021-07-25,269,07-2021,2021,DiSC
2021-07-26,387,07-2021,2021,DiSC
2021-07-27,395,07-2021,2021,DiSC
2021-07-28,408,07-2021,2021,DiSC
2021-07-29,346,07-2021,2021,DiSC
2021-07-30,312,07-2021,2021,DiSC
2021-07-31,273,07-2021,2021,DiSC
2021-08-01,279,08-2021,2021,DiSC
2021-08-02,356,08-2021,2021,DiSC
2021-08-03,416,08-2021,2021,DiSC
2021-08-04,402,08-2021,2021,DiSC
2021-08-05,407,08-2021,2021,DiSC
2021-08-06,375,08-2021,2021,DiSC
2021-08-07,263,08-2021,2021,DiSC
2021-08-08,260,08-2021,2021,DiSC
2021-08-09,476,08-2021,2021,DiSC
2021-08-10,507,08-2021,2021,DiSC
2021-08-11,512,08-2021,2021,DiSC
2021-08-12,365,08-2021,2021,DiSC
2021-08-13,998,08-2021,2021,DiSC
2021-08-14,539,08-2021,2021,DiSC
2021-08-15,372,08-2021,2021,DiSC
2021-08-16,545,08-2021,2021,DiSC
2021-08-17,474,08-2021,2021,DiSC
2021-08-18,440,08-2021,2021,DiSC
2021-08-19,429,08-2021,2021,DiSC
2021-08-20,278,08-2021,2021,DiSC
2021-08-21,318,08-2021,2021,DiSC
2021-08-22,342,08-2021,2021,DiSC
2021-08-23,569,08-2021,2021,DiSC
2021-08-24,528,08-2021,2021,DiSC
2021-08-25,515,08-2021,2021,DiSC
2021-08-26,505,08-2021,2021,DiSC
2021-08-27,461,08-2021,2021,DiSC
2021-08-28,317,08-2021,2021,DiSC
2021-08-29,266,08-2021,2021,DiSC
2021-08-30,473,08-2021,2021,DiSC
2021-08-31,590,08-2021,2021,DiSC
2021-09-01,480,09-2021,2021,DiSC
2021-09-02,675,09-2021,2021,DiSC
2021-09-03,376,09-2021,2021,DiSC
2021-09-04,194,09-2021,2021,DiSC
2021-09-05,235,09-2021,2021,DiSC
2021-09-06,359,09-2021,2021,DiSC
2021-09-07,391,09-2021,2021,DiSC
2021-09-08,445,09-2021,2021,DiSC
2021-09-09,393,09-2021,2021,DiSC
2021-09-10,496,09-2021,2021,DiSC
2021-09-11,241,09-2021,2021,DiSC
2021-09-12,253,09-2021,2021,DiSC
2021-09-13,530,09-2021,2021,DiSC
2021-09-14,412,09-2021,2021,DiSC
2021-09-15,396,09-2021,2021,DiSC
2021-09-16,389,09-2021,2021,DiSC
2021-09-17,340,09-2021,2021,DiSC
2021-09-18,194,09-2021,2021,DiSC
2021-09-19,170,09-2021,2021,DiSC
2021-09-20,361,09-2021,2021,DiSC
2021-09-21,428,09-2021,2021,DiSC
2021-09-22,451,09-2021,2021,DiSC
2021-09-23,504,09-2021,2021,DiSC
2021-09-24,390,09-2021,2021,DiSC
2021-09-25,208,09-2021,2021,DiSC
2021-09-26,204,09-2021,2021,DiSC
2021-09-27,434,09-2021,2021,DiSC
2021-09-28,393,09-2021,2021,DiSC
2021-09-29,432,09-2021,2021,DiSC
2021-09-30,445,09-2021,2021,DiSC
2021-10-01,384,10-2021,2021,DiSC
2021-10-02,194,10-2021,2021,DiSC
2021-10-03,219,10-2021,2021,DiSC
2021-10-04,419,10-2021,2021,DiSC
2021-10-05,409,10-2021,2021,DiSC
2021-10-06,405,10-2021,2021,DiSC
2021-10-07,382,10-2021,2021,DiSC
2021-10-08,367,10-2021,2021,DiSC
2021-10-09,204,10-2021,2021,DiSC
2021-10-10,200,10-2021,2021,DiSC
2021-10-11,410,10-2021,2021,DiSC
2021-10-12,460,10-2021,2021,DiSC
2021-10-13,440,10-2021,2021,DiSC
2021-10-14,477,10-2021,2021,DiSC
2021-10-15,468,10-2021,2021,DiSC
2021-10-16,226,10-2021,2021,DiSC
2021-10-17,271,10-2021,2021,DiSC
2021-10-18,510,10-2021,2021,DiSC
2021-10-19,477,10-2021,2021,DiSC
2021-10-20,437,10-2021,2021,DiSC
2021-10-21,433,10-2021,2021,DiSC
2021-10-22,378,10-2021,2021,DiSC
2021-10-23,226,10-2021,2021,DiSC
2021-10-24,243,10-2021,2021,DiSC
2021-10-25,467,10-2021,2021,DiSC
2021-10-26,407,10-2021,2021,DiSC
2021-10-27,363,10-2021,2021,DiSC
2021-10-28,404,10-2021,2021,DiSC
2021-10-29,362,10-2021,2021,DiSC
2021-10-30,238,10-2021,2021,DiSC
2021-10-31,223,10-2021,2021,DiSC
2021-11-01,367,11-2021,2021,DiSC
2021-11-02,473,11-2021,2021,DiSC
2021-11-03,330,11-2021,2021,DiSC
2021-11-04,360,11-2021,2021,DiSC
2021-11-05,341,11-2021,2021,DiSC
2021-11-06,180,11-2021,2021,DiSC
2021-11-07,193,11-2021,2021,DiSC
2021-11-08,421,11-2021,2021,DiSC
2021-11-09,442,11-2021,2021,DiSC
2021-11-10,472,11-2021,2021,DiSC
2021-11-11,354,11-2021,2021,DiSC
2021-11-12,328,11-2021,2021,DiSC
2021-11-13,208,11-2021,2021,DiSC
2021-11-14,229,11-2021,2021,DiSC
2021-11-15,353,11-2021,2021,DiSC
2021-11-16,308,11-2021,2021,DiSC
2021-11-17,411,11-2021,2021,DiSC
2021-11-18,404,11-2021,2021,DiSC
2021-11-19,375,11-2021,2021,DiSC
2021-11-20,194,11-2021,2021,DiSC
2021-11-21,228,11-2021,2021,DiSC
2021-11-22,325,11-2021,2021,DiSC
2021-11-23,352,11-2021,2021,DiSC
2021-11-24,367,11-2021,2021,DiSC
2021-11-25,268,11-2021,2021,DiSC
2021-11-26,234,11-2021,2021,DiSC
2021-11-27,195,11-2021,2021,DiSC
2021-11-28,197,11-2021,2021,DiSC
2021-11-29,327,11-2021,2021,DiSC
2021-11-30,375,11-2021,2021,DiSC
2021-12-01,321,12-2021,2021,DiSC
2021-12-02,334,12-2021,2021,DiSC
2021-12-03,279,12-2021,2021,DiSC
2021-12-04,174,12-2021,2021,DiSC
2021-12-05,182,12-2021,2021,DiSC
2021-12-06,352,12-2021,2021,DiSC
2021-12-07,398,12-2021,2021,DiSC
2021-12-08,335,12-2021,2021,DiSC
2021-12-09,378,12-2021,2021,DiSC
2021-12-10,280,12-2021,2021,DiSC
2021-12-11,169,12-2021,2021,DiSC
2021-12-12,206,12-2021,2021,DiSC
2021-12-13,337,12-2021,2021,DiSC
2021-12-14,380,12-2021,2021,DiSC
2021-12-15,358,12-2021,2021,DiSC
2021-12-16,356,12-2021,2021,DiSC
2021-12-17,232,12-2021,2021,DiSC
2021-12-18,199,12-2021,2021,DiSC
2021-12-19,190,12-2021,2021,DiSC
2021-12-20,261,12-2021,2021,DiSC
2021-12-21,266,12-2021,2021,DiSC
2021-12-22,262,12-2021,2021,DiSC
2021-12-23,212,12-2021,2021,DiSC
2021-12-24,161,12-2021,2021,DiSC
2021-12-25,160,12-2021,2021,DiSC
2021-12-26,203,12-2021,2021,DiSC
2021-12-27,283,12-2021,2021,DiSC
2021-12-28,247,12-2021,2021,DiSC
2021-12-29,267,12-2021,2021,DiSC
2021-12-30,272,12-2021,2021,DiSC
2021-12-31,180,12-2021,2021,DiSC
2022-01-01,181,01-2022,2022,DiSC
2022-01-02,206,01-2022,2022,DiSC
2022-01-03,351,01-2022,2022,DiSC
2022-01-04,444,01-2022,2022,DiSC
2022-01-05,436,01-2022,2022,DiSC
2022-01-06,310,01-2022,2022,DiSC
2022-01-07,297,01-2022,2022,DiSC
2022-01-08,186,01-2022,2022,DiSC
